month,Domestic,HK_MO,International,,,,,,,,,
202507,6472.8,83.9,709.3,,,,,,,,,
202506,5482.7,82.1,639.2,,,,,,,,,
202505,5726.3,81,640.9,,,,,,,,,
202504,5451.6,81.2,641.4,,,,,,,,,
202503,5336.1,76.1,608.5,,,,,,,,,
202502,5557.9,69,593.7,,,,,,,,,
202501,5799.3,81.3,690.3,,,,,,,,,
202412,5069.5,77.9,628.2,,,,,,,,,
202411,5086.4,77.6,557,,,,,,,,,
202410,5828.9,79.9,580.3,,,,,,,,,
202409,5429.5,74.3,562.4,,,,,,,,,
202408,6645.5,93,647.2,,,,,,,,,
202407,6300.6,86.2,613,,,,,,,,,
202406,5330.8,80.5,535.7,,,,,,,,,
202405,5377.1,78.7,510,,,,,,,,,
202404,5085.3,79.6,509.6,,,,,,,,,
202403,5257.4,75.5,485.6,,,,,,,,,
202402,5758.6,79.6,489.3,,,,,,,,,
202401,5294.8,75.3,437.1,,,,,,,,,
202312,4660.4,72.4,398.8,,,,,,,,,
202311,4583.2,66.7,315.9,,,,,,,,,
202310,5275.6,67.4,329.6,,,,,,,,,
202309,5024.6,58.7,324.3,,,,,,,,,
202308,6031.9,75.4,364.5,,,,,,,,,
202307,5907.5,71.9,335.3,,,,,,,,,
202306,5058.7,61.1,252.9,,,,,,,,,
202305,4972.3,55.7,197.6,,,,,,,,,
202304,4865.3,51.7,162.2,,,,,,,,,
202303,4461.1,41,109.4,,,,,,,,,
202302,4249.5,26.4,70.6,,,,,,,,,
202301,3933.2,20.1,44.2,,,,,,,,,
202212,1840.6,9.2,30.8,,,,,,,,,
202211,1234,5.9,23.2,,,,,,,,,
202210,1572.3,4.8,20.1,,,,,,,,,
202209,1988.7,4.2,21.2,,,,,,,,,
202208,3212.5,3,17.8,,,,,,,,,
202207,3384.9,2.1,14.6,,,,,,,,,
202206,2188.6,1,11.7,,,,,,,,,
202205,1197.3,0.6,10,,,,,,,,,
202204,778.7,0.6,9.3,,,,,,,,,
202203,1527,2.3,10,,,,,,,,,
202202,3121.2,6.9,8.2,,,,,,,,,
202201,2942.1,6.4,9.2,,,,,,,,,
202112,2698,5.1,11.5,,,,,,,,,
202111,2141.9,3.4,10.4,,,,,,,,,
202110,3875.3,3,10.8,,,,,,,,,
202109,3599.3,4.2,12.3,,,,,,,,,
202108,2226.8,3.3,13.8,,,,,,,,,
202107,4898.5,8.1,13.2,,,,,,,,,
202106,4115.5,7.9,12.1,,,,,,,,,
202105,5091,8.1,13,,,,,,,,,
202104,5095.9,5.1,13.6,,,,,,,,,
202103,4768.4,4.6,13.8,,,,,,,,,
202102,2385.8,2.7,9.1,,,,,,,,,
202101,3003.9,3.6,14.2,,,,,,,,,
202012,4216,3.2,16.3,,,,,,,,,
202011,4424.8,2.6,16.3,,,,,,,,,
202010,5013.5,3.1,18.8,,,,,,,,,
202009,4775.1,2.4,18.9,,,,,,,,,
202008,4597.6,2,18.9,,,,,,,,,
202007,3894.1,2,15.9,,,,,,,,,
202006,3059.9,1.4,14.1,,,,,,,,,
202005,2572.6,0.9,10.5,,,,,,,,,
202004,1663.8,0.6,7.7,,,,,,,,,
202003,1459.4,2.9,55.2,,,,,,,,,
202002,728.8,7.4,105.2,,,,,,,,,
202001,4401.1,67.6,659.2,,,,,,,,,
201912,4643.6,69.6,632.4,,,,,,,,,
