,Domestic,HK_MO,International,Total,YoY_Growth(%)
148,2376.7,66.5,190.3,2633.5,
147,2582.0,76.6,205.4,2864.0,
146,2669.2,73.9,209.2,2952.2999999999997,
145,2634.4,77.8,214.8,2927.0000000000005,
144,2651.0,70.2,204.3,2925.5,
143,2650.0,73.5,215.4,2938.9,
142,3019.2,80.3,247.3,3346.8,
141,3204.3,83.3,271.4,3559.0000000000005,
140,2806.6,74.4,241.9,3122.9,
139,2941.4,72.8,223.4,3237.6000000000004,
138,2639.6,73.8,211.9,2925.3,
137,2828.9,78.3,228.6,3135.8,
136,2876.5,82.7,232.1,3191.2999999999997,0.21180937915321807
135,2793.1,79.9,231.6,3104.6,0.08400837988826804
134,2896.1,85.8,245.4,3227.3,0.09314771534058197
133,2896.4,82.6,237.9,3216.9,0.09904338913563371
132,2824.1,82.8,236.6,3143.5,0.07451717655101686
131,3292.9,88.5,286.8,3668.2000000000003,0.24815407125114852
130,3410.5,89.0,319.7,3819.2,0.14114975498984084
129,3038.6,79.2,276.8,3394.6,-0.04619275077268914
128,3200.4,85.4,287.8,3573.6000000000004,0.1443209837010473
127,2971.2,81.3,268.5,3321.0,0.025759822090437146
126,2955.0,79.2,290.9,3325.1,0.1366697432741939
125,3151.5,96.5,341.2,3589.2,0.1445883028254351
124,3337.2,78.8,332.7,3748.7,0.17466236330022245
123,3231.9,84.4,347.6,3663.9,0.18015203246795086
122,3190.8,85.5,350.7,3627.0,0.12384965760852729
121,3085.6,80.7,318.8,3485.1,0.08337219061829715
120,3550.2,87.0,364.7,4001.8999999999996,0.2730714172101161
119,3754.8,93.4,410.4,4258.6,0.1609508750885993
118,3318.6,79.1,353.7,3751.3999999999996,-0.01775240888144114
117,3480.0,88.1,375.1,3943.2,0.16160961527131334
116,3149.4,83.9,348.5,3581.8,0.002294604880232809
115,3154.4,82.5,370.7,3607.6,0.0862993074375189
114,3319.1,87.0,417.2,3823.2999999999997,0.14983008029833678
113,3460.0,98.7,437.6,3996.2999999999997,0.11342360414577057
112,3483.6,81.8,409.9,3975.3,0.06044762184223873
111,3548.0,84.5,423.4,4055.9,0.10698981959114606
110,3487.6,79.8,409.7,3977.1,0.09652605459057062
109,3409.4,79.8,420.9,3910.1000000000004,0.12194772029497014
108,3863.0,84.6,490.3,4437.9,0.10894824958144889
107,4133.0,83.2,509.0,4725.2,0.10956652420983404
106,3746.1,72.7,423.1,4241.9,0.13075118622380977
105,3959.6,76.8,414.0,4450.4,0.1286264962467032
104,3593.6,74.5,377.3,4045.4,0.1294321290971019
103,3610.7,79.8,430.0,4120.5,0.14217208116199131
102,3896.2,85.1,496.9,4478.2,0.1712918159704968
101,3820.9,78.1,458.1,4357.1,0.09028351224883036
100,3990.6,78.9,439.9,4509.4,0.13435463990139085
99,3976.0,84.0,426.3,4486.3,0.1061170147192978
98,4074.3,84.9,423.3,4582.5,0.15222146790374902
97,3944.1,82.8,428.5,4455.4,0.13945934886575762
96,4363.9,91.3,496.1,4951.3,0.11568534667297614
95,4523.8,92.5,522.7,5139.0,0.08757301278252783
94,4200.1,81.9,454.6,4736.6,0.11662226832315725
93,4415.2,89.8,467.9,4972.9,0.11740517706273601
92,4203.7,87.6,441.8,4733.1,0.16999555050180448
91,4179.2,89.7,486.4,4755.299999999999,0.15405897342555508
90,4153.2,84.1,493.7,4731.0,0.05645125273547413
89,4316.9,92.8,525.8,4935.5,0.13274884670996756
88,4611.0,89.5,529.2,5229.7,0.15973300217323816
